year|conflictid_old|conflictid_new|actor|actorid|actorid_new|actor_type|type|incomp|region|gwnoloc|gwnoloc2|gwnoloc3|gwnoloc4|conflictyear|interm|postc|state_prev|ai_prev|hrw_prev|form|country
1997|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|0|0|3|1|Burundi
1998|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|2|2|1|1|Burundi
1999|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|0|1|0|1|Burundi
2000|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|1|0|1|1|Burundi
2001|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|2|0|1|1|Burundi
2002|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|1|2|1|1|Burundi
2003|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|3|3|1|1|Burundi
2004|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|3|0|1|1|Burundi
2005|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|3|1|0|1, 7|Burundi
2006|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|1|0|0|1, 7|Burundi
2007|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|0|1|0|1|0|0|1|Burundi
2008|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|1|1|0|1|Burundi
2009|90|287|Burundi|516|93|1|3|2|4|516|0|0|0|0|0|1|1|0|0|1|Burundi
2010|90|287|Government of Burundi|516|93|1|3|2|4|516|0|0|0|0|0|1|0|0|1|7|Burundi
2011|90|287|Government of Burundi|516|93|1|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2012|90|287|Government of Burundi|516|93|1|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2013|90|287|Government of Burundi|516|93|1|3|2|4|516|0|0|0|0|0|1|0|NA|0|-99|Burundi
2014|90|287|Government of Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
2015|90|287|Government of Burundi|516|93|1|3|2|4|516|0|0|0|1|0|0|1|1|0|1, 7|Burundi
1991|90|287|Palipehutu|1276|430|3|3|2|4|516|0|0|0|1|0|0|0|0|NA|-99|Burundi
1992|90|287|Palipehutu|1276|430|3|3|2|4|516|0|0|0|1|0|0|0|0|NA|-99|Burundi
1993|90|287|Palipehutu|1276|430|3|3|2|4|516|0|0|0|0|0|1|0|0|NA|-99|Burundi
1994|90|287|Palipehutu|1276|430|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
1995|90|287|Palipehutu|1276|430|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
1996|90|287|Palipehutu|1276|430|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
1997|90|287|Palipehutu|1276|430|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
1994|90|287|CNDD|1277|431|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
1995|90|287|CNDD|1277|431|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
1996|90|287|CNDD|1277|431|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
1997|90|287|CNDD|1277|431|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
1998|90|287|CNDD|1277|431|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
1999|90|287|CNDD|1277|431|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2000|90|287|CNDD|1277|431|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2001|90|287|CNDD|1277|431|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2002|90|287|CNDD|1277|431|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2003|90|287|CNDD|1277|431|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
1997|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|1|0|0|0|0|1|1|Burundi
1998|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|1|0|0|0|1|1|1|Burundi
1999|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
2000|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|1|0|0|0|0|1|1|Burundi
2001|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|1|0|0|0|2|0|1|Burundi
2002|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|1|0|0|0|1|0|1|Burundi
2003|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|1|0|0|2|0|3|1|Burundi
2004|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|1|0|0|2|0|1|1|Burundi
2005|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|1|0|0|1|0|0|1|Burundi
2006|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|1|0|0|1|0|0|1|Burundi
2007|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|0|1|0|1|0|0|1|Burundi
2008|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|1|0|0|1|1|0|1|Burundi
2009|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|0|0|1|0|1|0|1|Burundi
2010|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2011|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2012|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2013|90|287|Palipehutu–FNL|1278|432|3|3|2|4|516|0|0|0|0|0|1|0|NA|0|-99|Burundi
1997|90|287|Frolina|1279|433|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
1998|90|287|Frolina|1279|433|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
1999|90|287|Frolina|1279|433|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2000|90|287|Frolina|1279|433|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2001|90|287|Frolina|1279|433|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2002|90|287|Frolina|1279|433|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
1998|90|287|CNDD–FDD|1280|434|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
1999|90|287|CNDD–FDD|1280|434|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
2000|90|287|CNDD–FDD|1280|434|3|3|2|4|516|0|0|0|1|0|0|0|1|0|1|Burundi
2001|90|287|CNDD–FDD|1280|434|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
2002|90|287|CNDD–FDD|1280|434|3|3|2|4|516|0|0|0|1|0|0|0|0|2|1, 2|Burundi
2003|90|287|CNDD–FDD|1280|434|3|3|2|4|516|0|0|0|1|0|0|2|3|3|1|Burundi
2004|90|287|CNDD–FDD|1280|434|3|3|2|4|516|0|0|0|0|0|1|2|2|1|1|Burundi
2005|90|287|CNDD–FDD|1280|434|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2006|90|287|CNDD–FDD|1280|434|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2007|90|287|CNDD–FDD|1280|434|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2008|90|287|CNDD–FDD|1280|434|3|3|2|4|516|0|0|0|0|0|1|0|0|0|-99|Burundi
2015|90|287|Military faction (forces of Godefroid Niyombare)|6187|6187|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
2015|90|287|Military faction of General Godefroid Niyombare|6187|6187|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
2015|90|287|Forebu|6297|6297|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
2014|90|287|RED-TABARA|6513|6513|3|3|2|4|516|0|0|0|1|0|0|0|0|0|-99|Burundi
1989|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1990|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1991|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1992|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1993|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1994|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|2|NA|1|Chad
1995|91|288|Chad|483|87|1|4|2|4|483|0|0|0|0|1|0|2|0|NA|1|Chad
1996|91|288|Chad|483|87|1|4|2|4|483|0|0|0|0|1|0|0|1|NA|1|Chad
1997|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|0|NA|1|Chad
1998|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|0|NA|1|Chad
1999|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|0|NA|1|Chad
2000|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|0|NA|1|Chad
2001|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|0|NA|1|Chad
2002|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|1|NA|1|Chad
2003|91|288|Chad|483|87|1|4|2|4|483|0|0|0|0|1|0|1|0|NA|1|Chad
2004|91|288|Chad|483|87|1|4|2|4|483|0|0|0|0|1|0|1|0|NA|1|Chad
2005|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|0|0|1|Chad
2006|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|0|1|1|Chad
2007|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|1|1|1|Chad
2008|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|1|1|1|Chad
2009|91|288|Chad|483|87|1|4|2|4|483|0|0|0|1|0|0|1|1|2|1|Chad
2010|91|288|Government of Chad|483|87|1|3|2|4|483|0|0|0|1|0|0|1|1|1|1|Chad
2011|91|288|Government of Chad|483|87|1|3|2|4|483|0|0|0|0|0|1|1|1|NA|1|Chad
2012|91|288|Government of Chad|483|87|1|3|2|4|483|0|0|0|0|0|1|1|0|NA|1|Chad
2013|91|288|Government of Chad|483|87|1|3|2|4|483|0|0|0|0|0|1|0|1|NA|1|Chad
2014|91|288|Government of Chad|483|87|1|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2015|91|288|Government of Chad|483|87|1|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1989|91|288|GUNT|1287|441|3|4|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1990|91|288|GUNT|1287|441|3|4|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1991|91|288|GUNT|1287|441|3|4|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1989|91|288|Islamic Legion|1288|442|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1990|91|288|Islamic Legion|1288|442|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1991|91|288|Islamic Legion|1288|442|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1992|91|288|Islamic Legion|1288|442|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1993|91|288|Islamic Legion|1288|442|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1994|91|288|Islamic Legion|1288|442|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1995|91|288|Islamic Legion|1288|442|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1989|91|288|Revolutionary Forces of 1 April|1289|443|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1990|91|288|Revolutionary Forces of 1 April|1289|443|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1991|91|288|Revolutionary Forces of 1 April|1289|443|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1992|91|288|Revolutionary Forces of 1 April|1289|443|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1993|91|288|Revolutionary Forces of 1 April|1289|443|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1994|91|288|Revolutionary Forces of 1 April|1289|443|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1989|91|288|MOSANAT|1290|444|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1990|91|288|MOSANAT|1290|444|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1991|91|288|MOSANAT|1290|444|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1992|91|288|MOSANAT|1290|444|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1993|91|288|MOSANAT|1290|444|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1994|91|288|MOSANAT|1290|444|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1990|91|288|MPS|1291|445|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1991|91|288|MPS|1291|445|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1992|91|288|MPS|1291|445|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1993|91|288|MPS|1291|445|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1994|91|288|MPS|1291|445|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1995|91|288|MPS|1291|445|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1991|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1992|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1993|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1994|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|0|1|0|0|0|NA|-99|Chad
1995|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|0|1|0|0|0|NA|-99|Chad
1996|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|0|1|0|0|0|NA|-99|Chad
1997|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1998|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1999|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2000|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2001|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2002|91|288|MDD|1292|446|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1992|91|288|CNR|1293|447|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1993|91|288|CNR|1293|447|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1994|91|288|CNR|1293|447|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1995|91|288|CNR|1293|447|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1996|91|288|CNR|1293|447|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1997|91|288|CNR|1293|447|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1998|91|288|CNR|1293|447|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1999|91|288|CNR|1293|447|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1992|91|288|CSNPD|1294|448|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1993|91|288|CSNPD|1294|448|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1994|91|288|CSNPD|1294|448|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1995|91|288|CSNPD|1294|448|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1996|91|288|CSNPD|1294|448|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1997|91|288|CSNPD|1294|448|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1998|91|288|CSNPD|1294|448|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1999|91|288|CSNPD|1294|448|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1991|91|288|Military faction (forces of Maldoum Bada Abbas)|1295|449|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1992|91|288|Military faction (forces of Maldoum Bada Abbas)|1295|449|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1993|91|288|Military faction (forces of Maldoum Bada Abbas)|1295|449|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1994|91|288|Military faction (forces of Maldoum Bada Abbas)|1295|449|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1995|91|288|Military faction (forces of Maldoum Bada Abbas)|1295|449|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1996|91|288|Military faction (forces of Maldoum Bada Abbas)|1295|449|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1992|91|288|FNT|1296|450|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1993|91|288|FNT|1296|450|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1994|91|288|FNT|1296|450|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1995|91|288|FNT|1296|450|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1996|91|288|FNT|1296|450|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1997|91|288|FNT|1296|450|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1998|91|288|FNT|1296|450|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1999|91|288|FNT|1296|450|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1997|91|288|FARF|1297|451|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1998|91|288|FARF|1297|451|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
1999|91|288|FARF|1297|451|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2000|91|288|FARF|1297|451|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2001|91|288|FARF|1297|451|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2002|91|288|FARF|1297|451|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2003|91|288|FARF|1297|451|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1999|91|288|MDJT|1298|452|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
2000|91|288|MDJT|1298|452|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
2001|91|288|MDJT|1298|452|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
2002|91|288|MDJT|1298|452|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
2003|91|288|MDJT|1298|452|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2004|91|288|MDJT|1298|452|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2005|91|288|MDJT|1298|452|3|3|2|4|483|0|0|0|0|0|1|0|0|0|-99|Chad
2006|91|288|MDJT|1298|452|3|3|2|4|483|0|0|0|0|0|1|0|0|0|-99|Chad
2007|91|288|MDJT|1298|452|3|3|2|4|483|0|0|0|0|0|1|0|0|0|-99|Chad
2005|91|288|FUCD|1299|453|3|3|2|4|483|0|0|0|1|0|0|0|0|0|-99|Chad
2006|91|288|FUCD|1299|453|3|3|2|4|483|0|0|0|1|0|0|0|0|0|-99|Chad
2007|91|288|FUCD|1299|453|3|3|2|4|483|0|0|0|0|0|1|0|0|0|-99|Chad
2008|91|288|FUCD|1299|453|3|3|2|4|483|0|0|0|0|0|1|0|0|0|-99|Chad
2009|91|288|FUCD|1299|453|3|3|2|4|483|0|0|0|0|0|1|0|1|0|1|Chad
2010|91|288|FUCD|1299|453|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2011|91|288|FUCD|1299|453|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2006|91|288|RAFD|1300|454|3|3|2|4|483|0|0|0|1|0|0|0|0|0|-99|Chad
2007|91|288|RAFD|1300|454|3|3|2|4|483|0|0|0|0|0|1|0|0|0|-99|Chad
2008|91|288|RAFD|1300|454|3|3|2|4|483|0|0|0|0|0|1|0|0|0|-99|Chad
2009|91|288|RAFD|1300|454|3|3|2|4|483|0|0|0|0|0|1|0|0|0|-99|Chad
2010|91|288|RAFD|1300|454|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2011|91|288|RAFD|1300|454|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1989|91|288|CDR|1301|455|3|4|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1990|91|288|CDR|1301|455|3|4|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1991|91|288|CDR|1301|455|3|4|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1992|91|288|CDR|1301|455|3|4|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2006|91|288|UFDD|1302|456|3|3|2|4|483|0|0|0|1|0|0|0|0|0|-99|Chad
2007|91|288|UFDD|1302|456|3|3|2|4|483|0|0|0|1|0|0|0|0|0|-99|Chad
2008|91|288|UFDD|1302|456|3|3|2|4|483|0|0|0|0|0|1|0|0|0|-99|Chad
2009|91|288|UFDD|1302|456|3|3|2|4|483|0|0|0|0|0|1|0|0|0|-99|Chad
2010|91|288|UFDD|1302|456|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2011|91|288|UFDD|1302|456|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2012|91|288|UFDD|1302|456|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2008|91|288|AN|1577|716|3|3|2|4|483|0|0|0|1|0|0|0|0|0|-99|Chad
2009|91|288|AN|1577|716|3|3|2|4|483|0|0|0|0|0|1|0|0|0|-99|Chad
2010|91|288|AN|1577|716|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2011|91|288|AN|1577|716|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2012|91|288|AN|1577|716|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2013|91|288|AN|1577|716|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2009|91|288|UFR|1953|1069|3|3|2|4|483|0|0|0|1|0|0|0|0|0|-99|Chad
2010|91|288|UFR|1953|1069|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2011|91|288|UFR|1953|1069|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2012|91|288|UFR|1953|1069|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2013|91|288|UFR|1953|1069|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2014|91|288|UFR|1953|1069|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2010|91|288|PFNR|1997|1112|3|3|2|4|483|0|0|0|1|0|0|0|0|NA|-99|Chad
2011|91|288|PFNR|1997|1112|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2012|91|288|PFNR|1997|1112|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2013|91|288|PFNR|1997|1112|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2014|91|288|PFNR|1997|1112|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
2015|91|288|PFNR|1997|1112|3|3|2|4|483|0|0|0|0|0|1|0|0|NA|-99|Chad
1989|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
1990|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|1|NA|1|Colombia
1991|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
1992|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|1|1|Colombia
1993|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|1|1|1|1, 7|Colombia
1994|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
1995|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
1996|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|1|0|0|1|Colombia
1997|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|1|1|Colombia
1998|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
1999|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
2000|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
2001|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
2002|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
2003|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|1|1|NA|1, 5|Colombia
2004|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|1|0|1|Colombia
2005|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|1|0|1|Colombia
2006|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|1|1|1, 7|Colombia
2007|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|1|1|0|7|Colombia
2008|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
2009|92|289|Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|1|0|1|Colombia
2010|92|289|Government of Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|1|1|0|1|Colombia
2011|92|289|Government of Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
2012|92|289|Government of Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|1|0|1|Colombia
2013|92|289|Government of Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
2014|92|289|Government of Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
2015|92|289|Government of Colombia|100|17|1|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
1989|92|289|FARC–EP|1604|743|3|3|2|5|100|0|0|0|1|0|0|0|0|0|-99|Colombia
