year|conflictid_old|conflictid_new|actor|actorid|actorid_new|actor_type|type|incomp|region|location|gwnoloc|gwnoloc2|gwnoloc3|gwnoloc4|conflictyear|interm|postc|state_prev|ai_prev|hrw_prev|form
2008|113|309|Chad|483|87|2|4|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
1989|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
1990|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1991|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1992|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|1|2|1|1, 7
1993|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|2|2|0|1, 6
1994|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|2|2|0|1
1995|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|2|0|0|1
1996|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
1997|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|1|1, 7
1998|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
1999|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|2|1|2|1
2000|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|1|3|0|1
2001|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|1|1|1|1
2002|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|1|1|1|1, 2
2003|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|1|2|-99|1, 2
2004|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|2|2|3|1, 2, 6
2005|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|3|1|1|1, 7
2006|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|3|1|2|1, 7
2007|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|3|0|1|1, 7
2008|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|1|1
2009|113|309|Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|2|1|1|1, 7
2010|113|309|Government of Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|1|1|2|1, 7
2011|113|309|Government of Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|2|1|1|1, 7
2012|113|309|Government of Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|2|2|1|1, 7
2013|113|309|Government of Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|2|0|0|1
2014|113|309|Government of Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|3|1|3|1
2015|113|309|Government of Sudan|625|112|1|3|2|4|Sudan|625|0|0|0|1|0|0|3|1|3|1
1989|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
1990|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
1991|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1992|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|1|2|1, 7
1993|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|2|0|2|1
1994|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1995|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|1|0|1
1996|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1997|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
1998|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|1|1
1999|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
2000|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|1|1
2001|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|1|1|0|1
2002|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|2|1|1|1
2003|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|1|1|-99|1
2004|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
2005|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|0|0|1|1|0|0|1
2006|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2007|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|1|1
2008|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2009|113|309|SPLM/A|1312|466|3|3|2|4|Sudan|625|0|0|0|0|0|1|1|0|0|1
1996|113|309|NDA|1314|467|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1997|113|309|NDA|1314|467|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1998|113|309|NDA|1314|467|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1999|113|309|NDA|1314|467|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2000|113|309|NDA|1314|467|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2001|113|309|NDA|1314|467|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2002|113|309|NDA|1314|467|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2003|113|309|NDA|1314|467|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|-99|-99
2004|113|309|NDA|1314|467|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2005|113|309|NDA|1314|467|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2006|113|309|NDA|1314|467|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2003|113|309|JEM|1315|468|3|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|-99|-99
2004|113|309|JEM|1315|468|3|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
2005|113|309|JEM|1315|468|3|4|2|4|Sudan|625|0|0|0|0|1|0|1|0|0|1
2006|113|309|JEM|1315|468|3|4|2|4|Sudan|625|0|0|0|0|1|0|1|0|0|1
2007|113|309|JEM|1315|468|3|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
2008|113|309|JEM|1315|468|3|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2009|113|309|JEM|1315|468|3|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2010|113|309|JEM|1315|468|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|1|0|1
2011|113|309|JEM|1315|468|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2012|113|309|JEM|1315|468|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2013|113|309|JEM|1315|468|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2014|113|309|JEM|1315|468|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2015|113|309|JEM|1315|468|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2003|113|309|SLM/A|1316|469|3|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|-99|-99
2004|113|309|SLM/A|1316|469|3|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|1|1
2005|113|309|SLM/A|1316|469|3|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
2006|113|309|SLM/A|1316|469|3|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2007|113|309|SLM/A|1316|469|3|4|2|4|Sudan|625|0|0|0|0|1|0|0|0|0|-99
2008|113|309|SLM/A|1316|469|3|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2009|113|309|SLM/A|1316|469|3|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2010|113|309|SLM/A|1316|469|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2011|113|309|SLM/A|1316|469|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2012|113|309|SLM/A|1316|469|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2013|113|309|SLM/A|1316|469|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2014|113|309|SLM/A|1316|469|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2015|113|309|SLM/A|1316|469|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2006|113|309|NRF|1317|470|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2007|113|309|NRF|1317|470|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2008|113|309|NRF|1317|470|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2009|113|309|NRF|1317|470|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2010|113|309|NRF|1317|470|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2011|113|309|NRF|1317|470|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2006|113|309|SLM/A – MM|1318|471|3|3|2|4|Sudan|625|0|0|0|1|0|0|1|2|1|1, 7
2006|113|309|Sudan Liberation Movement/Army - Minni Minnawi Faction (SLM/A-MM)|1318|471|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2007|113|309|SLM/A – MM|1318|471|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2007|113|309|Sudan Liberation Movement/Army - Minni Minnawi Faction (SLM/A-MM)|1318|471|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2008|113|309|SLM/A – MM|1318|471|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2008|113|309|Sudan Liberation Movement/Army - Minni Minnawi Faction (SLM/A-MM)|1318|471|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2009|113|309|SLM/A – MM|1318|471|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2009|113|309|Sudan Liberation Movement/Army - Minni Minnawi Faction (SLM/A-MM)|1318|471|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2010|113|309|SLM/A – MM|1318|471|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2011|113|309|SLM/A – MM|1318|471|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2007|113|309|SLM/A–Unity|1319|472|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2008|113|309|SLM/A–Unity|1319|472|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2009|113|309|SLM/A–Unity|1319|472|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2010|113|309|SLM/A–Unity|1319|472|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2011|113|309|SLM/A–Unity|1319|472|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2012|113|309|SLM/A–Unity|1319|472|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2013|113|309|SLM/A–Unity|1319|472|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
1997|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|2|2
1998|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|2|0|2|2
1999|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|2|0|2|2, 7
2000|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|2
2001|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|2|0|0|2
2002|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|2|0|1|1, 2
2003|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|2|0|-99|2
2004|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|2
2005|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|2
2006|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2007|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2008|113|309|Lord's Resistance Army (LRA)|1336|488|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|1|2
2000|113|309|Janjaweed|1485|630|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2001|113|309|Janjaweed|1485|630|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2002|113|309|Janjaweed|1485|630|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2003|113|309|Janjaweed|1485|630|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|2|1|1, 2, 7
2004|113|309|Janjaweed|1485|630|6|4|2|4|Sudan|625|0|0|0|1|0|0|2|2|3|1, 2, 6, 7
2005|113|309|Janjaweed|1485|630|6|4|2|4|Sudan|625|0|0|0|1|0|0|3|0|1|1
2006|113|309|Janjaweed|1485|630|6|4|2|4|Sudan|625|0|0|0|1|0|0|3|3|2|1, 7
2007|113|309|Janjaweed|1485|630|6|4|2|4|Sudan|625|0|0|0|1|0|0|3|3|2|1
2008|113|309|Janjaweed|1485|630|6|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
2009|113|309|Janjaweed|1485|630|6|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
1989|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1990|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1991|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1992|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|2|0|2
1993|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|2|2|2|1, 2
1994|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1995|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1996|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1997|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1998|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1999|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2000|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2001|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2002|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
2003|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|-99|1
2004|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|1|1
2005|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
2006|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
2007|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|2|1
2008|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2009|113|309|Popular Defence Forces (PDF)|1526|667|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1991|113|309|Sudan People's Liberation Movement/Army - Nasir Faction (SPLM/A-Nasir)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|2|1|1, 6
1992|113|309|Sudan People's Liberation Movement/Army - Nasir Faction (SPLM/A-Nasir)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1993|113|309|Sudan People's Liberation Movement/Army - Nasir Faction (SPLM/A-Nasir)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1994|113|309|Sudan People's Liberation Movement/Army - Nasir Faction (SPLM/A-Nasir)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1995|113|309|Sudan People's Liberation Movement/Army - Nasir Faction (SPLM/A-Nasir)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1996|113|309|Sudan People's Liberation Movement/Army - Nasir Faction (SPLM/A-Nasir)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1997|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1997|113|309|Sudan People's Liberation Movement/Army - Nasir Faction (SPLM/A-Nasir)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1998|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1998|113|309|Sudan People's Liberation Movement/Army - Nasir Faction (SPLM/A-Nasir)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1999|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2000|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2001|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2002|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2003|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|-99|-99
2004|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2005|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2006|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2007|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2008|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2009|113|309|South Sudan Defence Forces (SSDF)|1546|686|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1989|113|309|Toposa Tribesmen|1553|692|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1990|113|309|Toposa Tribesmen|1553|692|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1991|113|309|Toposa Tribesmen|1553|692|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1992|113|309|Toposa Tribesmen|1553|692|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1993|113|309|Toposa Tribesmen|1553|692|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1994|113|309|Toposa Tribesmen|1553|692|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1995|113|309|Toposa Tribesmen|1553|692|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1996|113|309|Toposa Tribesmen|1553|692|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1997|113|309|Toposa Tribesmen|1553|692|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1998|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1999|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|1|2|1
2000|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2001|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2002|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|1|1
2003|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|-99|-99
2004|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2005|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2006|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2007|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2008|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|1|1
2009|113|309|South Sudan Unity Movement/Army (SSUM/A)|1920|1037|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2010|113|309|SSDM/A|1993|1108|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2011|113|309|SSDM/A|1993|1108|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2012|113|309|SSDM/A|1993|1108|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2013|113|309|SSDM/A|1993|1108|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2014|113|309|SSDM/A|1993|1108|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2015|113|309|SSDM/A|1993|1108|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2011|113|309|SPLM/A-North|2008|1123|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2012|113|309|SPLM/A-North|2008|1123|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2013|113|309|SPLM/A-North|2008|1123|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2014|113|309|SPLM/A-North|2008|1123|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2015|113|309|SPLM/A-North|2008|1123|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2002|113|309|South Sudan Liberation Movement/Army (SSLM/A)|2009|1124|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2003|113|309|South Sudan Liberation Movement/Army (SSLM/A)|2009|1124|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|-99|-99
2004|113|309|South Sudan Liberation Movement/Army (SSLM/A)|2009|1124|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2005|113|309|South Sudan Liberation Movement/Army (SSLM/A)|2009|1124|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2006|113|309|South Sudan Liberation Movement/Army (SSLM/A)|2009|1124|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2007|113|309|South Sudan Liberation Movement/Army (SSLM/A)|2009|1124|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2008|113|309|South Sudan Liberation Movement/Army (SSLM/A)|2009|1124|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2011|113|309|SSLM/A|2009|1124|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2012|113|309|SSLM/A|2009|1124|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2013|113|309|SSLM/A|2009|1124|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2014|113|309|SSLM/A|2009|1124|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2015|113|309|SSLM/A|2009|1124|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2011|113|309|SRF|2047|1162|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2012|113|309|SRF|2047|1162|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2013|113|309|SRF|2047|1162|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2014|113|309|SRF|2047|1162|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2015|113|309|SRF|2047|1162|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2014|113|309|SARC|5849|5849|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2015|113|309|SARC|5849|5849|3|3|2|4|Sudan|625|0|0|0|0|0|1|0|0|0|-99
2014|113|309|Darfur Joint Resistance Forces|5866|5866|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2015|113|309|Darfur Joint Resistance Forces|5866|5866|3|3|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2006|113|309|Ambororo|8002|8002|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2007|113|309|Ambororo|8002|8002|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2008|113|309|Ambororo|8002|8002|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
2009|113|309|Ambororo|8002|8002|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1989|113|309|Anyanya II|8009|8009|6|4|2|4|Sudan|625|0|0|0|1|0|0|1|0|0|1
1990|113|309|Anyanya II|8009|8009|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
1991|113|309|Anyanya II|8009|8009|6|4|2|4|Sudan|625|0|0|0|1|0|0|0|0|0|-99
